timestamp_utc,trip_id,tren,fecha_tren,estado,retraso_seg,retraso_min
2026-04-17T02:50:20Z,5104V78280R2,5104V,,SCHEDULED,240,4.0
2026-04-17T03:00:41Z,5104V28400R2N,5104V,,SCHEDULED,60,1.0
2026-04-17T03:00:41Z,5104V78280R2,5104V,,SCHEDULED,540,9.0
2026-04-17T03:00:41Z,6104V35655C1,6104V,,SCHEDULED,60,1.0
2026-04-17T03:00:41Z,1004V20203C4a,1004V,,SCHEDULED,180,3.0
2026-04-17T03:05:17Z,5104V25602R1,5104V,,SCHEDULED,60,1.0
2026-04-17T03:05:17Z,5104V77600R4,5104V,,SCHEDULED,60,1.0
2026-04-17T03:05:17Z,5104V25702R1,5104V,,SCHEDULED,60,1.0
2026-04-17T03:05:17Z,5104V77502R4,5104V,,SCHEDULED,60,1.0
2026-04-17T03:05:17Z,5104V78280R2,5104V,,SCHEDULED,180,3.0
2026-04-17T03:05:17Z,1004V20203C4a,1004V,,SCHEDULED,120,2.0
2026-04-17T03:05:17Z,1004V20405C4b,1004V,,SCHEDULED,-120,-2.0
2026-04-17T03:05:17Z,1004V21500C2,1004V,,SCHEDULED,60,1.0
2026-04-17T03:10:20Z,5104V77600R4,5104V,,SCHEDULED,120,2.0
2026-04-17T03:10:20Z,5104V78280R2,5104V,,SCHEDULED,240,4.0
2026-04-17T03:10:20Z,5104V28557R2N,5104V,,SCHEDULED,-60,-1.0
2026-04-17T03:10:20Z,6104V35652C1,6104V,,SCHEDULED,60,1.0
2026-04-17T03:10:20Z,1004V20203C4a,1004V,,SCHEDULED,120,2.0
2026-04-17T03:10:20Z,1004V20405C4b,1004V,,SCHEDULED,-120,-2.0
2026-04-17T03:10:20Z,1004V20403C4b,1004V,,SCHEDULED,120,2.0
2026-04-17T03:10:20Z,1004V20205C4a,1004V,,SCHEDULED,120,2.0
2026-04-17T03:10:20Z,1004V21500C2,1004V,,SCHEDULED,120,2.0
2026-04-17T03:10:20Z,1004V21703C2,1004V,,SCHEDULED,120,2.0
2026-04-17T03:15:21Z,5104V25702R1,5104V,,SCHEDULED,120,2.0
2026-04-17T03:15:21Z,5104V78280R2,5104V,,SCHEDULED,240,4.0
2026-04-17T03:15:21Z,6004V26000C2,6004V,,SCHEDULED,180,3.0
2026-04-17T03:15:21Z,6104V35655C1,6104V,,SCHEDULED,60,1.0
2026-04-17T03:15:21Z,6104V35652C1,6104V,,SCHEDULED,60,1.0
2026-04-17T03:15:21Z,1004V20405C4b,1004V,,SCHEDULED,-120,-2.0
2026-04-17T03:15:21Z,1004V20403C4b,1004V,,SCHEDULED,240,4.0
2026-04-17T03:15:21Z,1004V20205C4a,1004V,,SCHEDULED,240,4.0
2026-04-17T03:15:21Z,1004V20203C4a,1004V,,SCHEDULED,360,6.0
2026-04-17T03:15:21Z,1004V21703C2,1004V,,SCHEDULED,120,2.0
2026-04-17T03:20:20Z,5104V28400R2N,5104V,,SCHEDULED,120,2.0
2026-04-17T03:20:20Z,5104V78280R2,5104V,,SCHEDULED,300,5.0
2026-04-17T03:20:20Z,5104V25702R1,5104V,,SCHEDULED,60,1.0
2026-04-17T03:20:20Z,5104V78282R2,5104V,,SCHEDULED,360,6.0
2026-04-17T03:20:20Z,6004V26501C3,6004V,,SCHEDULED,60,1.0
2026-04-17T03:20:20Z,6104V35652C1,6104V,,SCHEDULED,60,1.0
2026-04-17T03:20:20Z,1004V20405C4b,1004V,,SCHEDULED,-120,-2.0
2026-04-17T03:20:20Z,1004V20403C4b,1004V,,SCHEDULED,240,4.0
2026-04-17T03:20:20Z,1004V20205C4a,1004V,,SCHEDULED,240,4.0
2026-04-17T03:20:20Z,1004V20203C4a,1004V,,SCHEDULED,420,7.0
2026-04-17T03:20:20Z,1004V19799C1,1004V,,SCHEDULED,60,1.0
2026-04-17T03:20:20Z,1004V21500C2,1004V,,SCHEDULED,60,1.0
2026-04-17T03:25:16Z,5104V25702R1,5104V,,SCHEDULED,120,2.0
2026-04-17T03:25:16Z,5104V28400R2N,5104V,,SCHEDULED,60,1.0
2026-04-17T03:25:16Z,5104V77400R4,5104V,,SCHEDULED,240,4.0
2026-04-17T03:25:16Z,5104V77600R4,5104V,,SCHEDULED,300,5.0
2026-04-17T03:25:16Z,6004V26001C2,6004V,,SCHEDULED,60,1.0
2026-04-17T03:25:16Z,1004V78003C3,1004V,,SCHEDULED,180,3.0
2026-04-17T03:25:16Z,1004V20403C4b,1004V,,SCHEDULED,240,4.0
2026-04-17T03:25:16Z,1004V20203C4a,1004V,,SCHEDULED,360,6.0
2026-04-17T03:25:16Z,1004V21501C2,1004V,,SCHEDULED,60,1.0
2026-04-17T03:25:16Z,1004V19799C1,1004V,,SCHEDULED,120,2.0
2026-04-17T03:25:16Z,1004V21703C2,1004V,,SCHEDULED,60,1.0
2026-04-17T03:30:29Z,3204V23303C1,3204V,,SCHEDULED,60,1.0
2026-04-17T03:30:29Z,5104V77600R4,5104V,,SCHEDULED,240,4.0
2026-04-17T03:30:29Z,5104V78280R2,5104V,,SCHEDULED,180,3.0
2026-04-17T03:30:29Z,5104V78282R2,5104V,,SCHEDULED,540,9.0
2026-04-17T03:30:29Z,6004V26001C2,6004V,,SCHEDULED,60,1.0
2026-04-17T03:30:29Z,6104V35612C1,6104V,,SCHEDULED,120,2.0
2026-04-17T03:30:29Z,6104V35652C1,6104V,,SCHEDULED,-120,-2.0
2026-04-17T03:30:29Z,1004V78003C3,1004V,,SCHEDULED,240,4.0
2026-04-17T03:30:29Z,1004V20203C4a,1004V,,SCHEDULED,300,5.0
2026-04-17T03:30:29Z,1004V21501C2,1004V,,SCHEDULED,120,2.0
2026-04-17T03:30:29Z,1004V21500C2,1004V,,SCHEDULED,120,2.0
2026-04-17T03:35:17Z,4004V24000C2,4004V,,SCHEDULED,-60,-1.0
2026-04-17T03:35:17Z,5104V77400R4,5104V,,SCHEDULED,120,2.0
2026-04-17T03:35:17Z,5104V77600R4,5104V,,SCHEDULED,240,4.0
2026-04-17T03:35:17Z,5104V77502R4,5104V,,SCHEDULED,480,8.0
2026-04-17T03:35:17Z,5104V25604R1,5104V,,SCHEDULED,120,2.0
2026-04-17T03:35:17Z,5104V77602R4,5104V,,SCHEDULED,60,1.0
2026-04-17T03:35:17Z,5104V15620RL4,5104V,,SCHEDULED,180,3.0
2026-04-17T03:35:17Z,5104V77200R2S,5104V,,SCHEDULED,240,4.0
2026-04-17T03:35:17Z,5104V78282R2,5104V,,SCHEDULED,180,3.0
2026-04-17T03:35:17Z,6004V26001C2,6004V,,SCHEDULED,180,3.0
2026-04-17T03:35:17Z,6004V26002C2,6004V,,SCHEDULED,60,1.0
2026-04-17T03:35:17Z,6104V35612C1,6104V,,SCHEDULED,180,3.0
2026-04-17T03:35:17Z,6104V35652C1,6104V,,SCHEDULED,120,2.0
2026-04-17T03:35:17Z,1004V78003C3,1004V,,SCHEDULED,180,3.0
